CustomerID,CustomerName,Age,Gender,Email
1,Lucille Johnson,25,Male,LJohnson@kozel.com
2,Sonya Buendia,30,Female,SBuendia@staropramen.cz
3,Antonio Givens,53,Female,AGivens@gambrinus.net
4,Emily Uplinger,66,Male,EUplinger@pilsner.org
5,Thomas Kincaid,49,Female,TKincaid@staropramen.cz
6,Brian Burnett,35,Female,BBurnett@kozel.com
7,John Castro,27,Female,JCastro@gambrinus.net
8,Jackie Ohare,22,Male,JOhare@staropramen.cz
9,Maxine Kuehn,34,Male,MKuehn@pilsner.org
10,Lakisha Salzmann,42,Male,LSalzmann@gambrinus.net
11,Tracy Craft,70,Female,TCraft@staropramen.cz
12,Carol Anderson,15,Female,CAnderson@staropramen.cz
13,Brenda Morales,45,Male,BMorales@gambrinus.net
14,Manuel Pines,54,Female,MPines@kozel.com
15,Corey Hanson,45,Female,CHanson@gambrinus.net
16,Gerald Ellis,39,Male,GEllis@pilsner.org
17,Eddie Kibbe,26,Male,EKibbe@staropramen.cz
18,Albert Freeman,57,Female,AFreeman@kozel.com
19,William Pardo,19,Male,WPardo@staropramen.cz
20,Michael Blanchard,64,Male,MBlanchard@staropramen.cz
21,Shawna Corbett,43,Male,SCorbett@pilsner.org
22,Betty Mason,54,Male,BMason@staropramen.cz
23,Stephanie Figgs,45,Male,SFiggs@staropramen.cz
24,Joy Alfaro,48,Male,JAlfaro@kozel.com
25,Diane Webster,24,Male,DWebster@kozel.com
26,Lynda Maurin,57,Female,LMaurin@staropramen.cz
27,Barbara Loomis,26,Female,BLoomis@kozel.com
28,Mark Tackett,23,Female,MTackett@pilsner.org
29,Geoffrey Hass,20,Female,GHass@staropramen.cz
30,Chad Lesko,38,Female,CLesko@gambrinus.net
31,Jack Leu,33,Male,JLeu@kozel.com
32,Edwin Ferguson,23,Female,EFerguson@staropramen.cz
33,Alfredo Bow,22,Male,ABow@kozel.com
34,Norberto Rogers,41,Female,NRogers@kozel.com
35,Jessica Taylor,48,Male,JTaylor@staropramen.cz
36,Robert Huff,45,Female,RHuff@pilsner.org
37,Jeffery Everett,62,Female,JEverett@kozel.com
